location,elapsed,29Hz,58Hz,116Hz,120Hz,174Hz,232Hz,240Hz,peak1_freq,peak1_level,peak2_freq,peak2_level,peak3_freq,peak3_level,peak4_freq,peak4_level,peak5_freq,peak5_level
elec room,44.01671504974365,6.6191844420208055,27.182419564005198,6.847929537671983,119.13289355464124,2.2911612970036797,1.441548226982418,123.49338155528797,240.234375,123.49338155528797,120.1171875,119.13289355464124,58.59375,27.182419564005198,360.3515625,20.740204747437307,111.328125,14.174992754708306
elec room,45.00939702987671,2.074776146589736,30.73132823462491,13.2535296612112,125.56338652353918,3.59867692104233,4.141650686943925,125.11110228737753,120.1171875,125.56338652353918,240.234375,125.11110228737753,39.55078125,31.97690910340499,58.59375,30.73132823462491,360.3515625,18.341239741509767
elec room,46.00215220451355,2.2105921602501497,25.755159000277587,8.492951222894357,117.79891096242294,4.5509301428859334,1.1089924393765969,129.8826385117188,240.234375,129.8826385117188,120.1171875,117.79891096242294,58.59375,25.755159000277587,360.3515625,20.667619358895262,102.5390625,19.12515096580294
elec room,47.01397132873535,1.4819158563148938,24.68503622291543,13.346826356976173,118.456319723786,2.30925141051169,0.5270650304448006,125.55620727320681,240.234375,125.55620727320681,120.1171875,118.456319723786,38.0859375,29.81438206305576,57.12890625,24.68503622291543,93.75,22.676919838178712
elec room,48.006511211395264,3.384576922274826,33.31485533083135,7.988506296656587,100.37399674565489,4.524528119339824,1.0989549165532353,127.14587720830842,240.234375,127.14587720830842,120.1171875,100.37399674565489,58.59375,33.31485533083135,104.00390625,29.83200519101706,39.55078125,23.222337189782994
elec room,49.00012516975403,6.009186950620009,39.93023395335311,7.128301491471833,118.94528318725672,3.543302370070587,0.9842740131967936,128.17914077433295,240.234375,128.17914077433295,120.1171875,118.94528318725672,58.59375,39.93023395335311,39.55078125,26.25754584714434,360.3515625,20.541021728589275
elec room,50.0142719745636,0.8449989567935078,29.265178758061012,9.222770984856558,126.23656235345578,3.107228798695578,1.0444365836375142,128.7636371159763,240.234375,128.7636371159763,120.1171875,126.23656235345578,58.59375,29.265178758061012,360.3515625,20.00728883199454,39.55078125,16.22335699723259
elec room,51.00930309295654,4.112700060144144,31.271583277065094,5.631389947478851,128.31739847193793,5.134125419866052,2.3763351331917724,117.92786113570183,120.1171875,128.31739847193793,240.234375,117.92786113570183,58.59375,31.271583277065094,102.5390625,25.082319751998387,360.3515625,21.30153637244562
elec room,52.00959515571594,2.9308559228457898,29.257465968894298,7.886235944771526,133.1562018335478,3.2176423937479477,2.852850267885488,115.79290214947915,120.1171875,133.1562018335478,240.234375,115.79290214947915,58.59375,29.257465968894298,360.3515625,19.820697488493952,52.734375,19.386349187091156
elec room,53.014164209365845,3.7597402427076045,40.008262709831314,7.4509973373541785,135.21634453613046,1.1537693308481571,2.616279813466216,117.19995841274613,120.1171875,135.21634453613046,240.234375,117.19995841274613,58.59375,40.008262709831314,360.3515625,22.470354837079633,95.21484375,20.910347071795965
elec room,54.011855125427246,3.5269598176543124,33.853305257282436,8.626744693712793,119.39023306488019,3.4245975229460512,0.7923535130049194,115.2190661241767,120.1171875,119.39023306488019,240.234375,115.2190661241767,58.59375,33.853305257282436,102.5390625,22.879382004569326,360.3515625,21.61186193579794
elec room,55.02006816864014,4.266832389882603,18.180012010510595,9.029902548638676,138.32227320429973,2.4985964311255806,0.2229786253595382,111.16302358704604,120.1171875,138.32227320429973,240.234375,111.16302358704604,360.3515625,21.641062562725402,58.59375,18.180012010510595,104.00390625,17.80534277106792
elec room,56.00276231765747,2.750546320095254,27.095869960306807,6.2306031453551824,124.7305361211854,1.592526942940765,1.2664150463236263,117.7807687563932,120.1171875,124.7305361211854,240.234375,117.7807687563932,57.12890625,27.095869960306807,102.5390625,23.19091361690534,360.3515625,21.98796734582119
elec room,57.00202798843384,5.805447758118068,32.61008360181128,5.866585825129783,127.85616014973971,1.8373056304665618,1.7583927830322108,128.42782642820185,240.234375,128.42782642820185,120.1171875,127.85616014973971,58.59375,32.61008360181128,102.5390625,24.075680975934084,360.3515625,23.817504301417088
elec room,58.007631063461304,3.633862285238939,29.19706358624246,8.373507877036783,132.18706575325882,2.9897892171565443,1.9496708716095377,134.91443149792428,240.234375,134.91443149792428,120.1171875,132.18706575325882,58.59375,29.19706358624246,360.3515625,21.549032796561832,102.5390625,16.986466181092748
elec room,59.00509524345398,4.608603435569397,22.240149358438437,5.944428305648952,137.5729896571909,2.3927409303773906,1.4810583544061342,132.52457147377808,120.1171875,137.5729896571909,240.234375,132.52457147377808,360.3515625,25.13386634489133,102.5390625,24.56666415451212,58.59375,22.240149358438437
